"stock","ridge","lasso","en1","en2","adlasso","ridge_dcsis","lasso_dcsis","en1_dcsis","en2_dcsis","adlasso_dcsis"
"MICROSOFT",0.046407131462273,0.0553944484043608,0.0553788481218872,0.0553771878718339,0.0547774984680831,0.0399211373382048,0.0488697165902316,0.0478442777380795,0.0474611005840138,0.0522597416195748
"APPLE",0.048911142556929,0.0559237259346324,0.0559183567186078,0.0559296469231091,0.0563260114474076,0.031694480514144,0.0381226062050973,0.0374247055206878,0.0371444182477879,0.0372651968991191
"NVIDIA",0.0128744189119768,0.0147187857458345,0.0147079028831945,0.0147159461470082,0.0150867454371788,0.00779890656410146,0.00730579023109947,0.00718860399307428,0.00713672128054721,0.00973674801570321
"AMAZON.COM",0.0329569204962157,0.0372002895423855,0.0371867702985804,0.0371961609643467,0.0372239465635968,0.0271052168318707,0.0297146654168783,0.0295191652400332,0.0294591528158897,0.0317406284963254
"META PLATFORMS A",0.0172928255769665,0.0184207727184981,0.0184195095920678,0.0184146143597515,0.0187580259648786,0.0165108085280277,0.017193661312881,0.0171244195791973,0.0171047440750769,0.0175728906123082
"ALPHABET A",0.0183535203827681,0.0328621600873205,0.0328558317688587,0.0328496376295847,0.0327356559244739,NA,NA,NA,NA,NA
"ELI LILLY",0.0141668320474345,0.0144277145950173,0.0144221777014615,0.0144241505025898,0.0142223719936097,NA,NA,NA,NA,NA
"TESLA",0.00645475514225859,0.00653092350141204,0.00652805459380124,0.0065286314574912,0.00667592468078639,0.000745822950558873,0,0,0,0
"BROADCOM",0.009268258062097,0.00933654765224101,0.00933267574839193,0.00933876547452179,0.0103219914970835,0.00573901477568621,0.0042719679891894,0.00428878109464932,0.00428087934865274,0.00596799059347953
"JP MORGAN CHASE & CO.",0.0141305373144114,0.0197940338167161,0.0197423198367923,0.0197305886101066,0.0198757343059429,NA,NA,NA,NA,NA
"WALMART",0.00416835728064016,0.00255100088327422,0.00254894610401727,0.0025484909135803,0.00231465323286484,0.0160526464996842,0.0138458108839094,0.0138753368935522,0.0138561362456813,0.0165531738862787
"VISA 'A'",0.00965636736618713,0.0107851246289282,0.0107678720435393,0.0107914531577723,0.0121332463757136,0.01482558059493,0.0197317035507857,0.0193467804099691,0.019327342630312,0.0170133247021296
"EXXON MOBIL",0.0137893834398908,0.018698018474106,0.0186806196583726,0.0186701922454473,0.0209541113413213,0.0196560684688923,0.029282576463873,0.0288442027705997,0.0287136984710542,0.0273845059479991
"MASTERCARD",0.00689919055011595,0.00542457415124128,0.00543267693605917,0.00539551550219879,0.00492694255766448,NA,NA,NA,NA,NA
